Flow,Packets,Bytes,Application,Domain
192.168.31.44:49961 -> 149.154.175.100:80,1,0,,
192.168.31.44:50036 -> 91.108.56.141:443,1,0,,
192.168.31.44:50174 -> 149.154.167.51:80,1,0,,
192.168.31.44:50035 -> 91.108.56.141:443,7,0,,
8.8.8.8:53 -> 192.168.31.44:12099,1,233,,
192.168.31.44:50017 -> 149.154.167.92:80,1,0,,
192.168.31.44:49794 -> 91.108.56.141:80,1,0,,
192.168.31.44:50204 -> 149.154.167.51:443,4,0,,
192.168.31.44:49975 -> 149.154.167.92:80,2,0,,
192.168.31.44:61967 -> 192.168.31.12:8009,3,0,,
192.168.31.12:5353 -> 224.0.0.251:5353,4,641,,
194.221.250.50:443 -> 192.168.31.44:49867,13,3832,,
18.97.36.77:443 -> 192.168.31.44:62402,7,260,,
192.168.31.44:49915 -> 194.221.250.50:443,15,2240,,
194.221.250.50:443 -> 192.168.31.44:50177,7,2842,,
194.221.250.50:443 -> 192.168.31.44:50014,14,3818,,
192.168.31.44:50064 -> 194.221.250.50:443,15,2437,,
192.168.31.44:50450 -> 91.108.56.141:443,7,0,,
192.168.31.44:49995 -> 149.154.167.92:80,4,0,,
192.168.31.44:49973 -> 149.154.167.92:443,2,0,,
194.221.250.50:443 -> 192.168.31.44:50147,7,2840,,
192.168.31.44:50046 -> 91.108.56.141:80,2,0,,
192.168.31.44:49965 -> 91.108.56.141:443,7,0,,
192.168.31.44:49966 -> 149.154.167.92:443,1,0,,
192.168.31.44:50691 -> 185.199.111.133:443,52,8289,,
192.168.31.44:64565 -> 8.8.8.8:53,2,56,Google,google.com
8.8.8.8:53 -> 192.168.31.44:39806,1,287,,
192.168.31.44:49818 -> 149.154.167.51:443,1,0,,
192.168.31.44:63586 -> 52.168.117.170:443,64,27188,,
194.221.250.50:443 -> 192.168.31.44:49963,11,3849,,
192.168.31.44:50323 -> 149.154.167.92:443,1,0,,
192.168.31.44:49958 -> 149.154.175.100:443,1,0,,
192.168.31.44:50599 -> 149.154.175.100:80,1,0,,
192.168.31.44:49941 -> 34.49.39.67:443,12,2618,Unknown,otel.cline.bot
20.207.73.82:443 -> 192.168.31.44:50711,15,5972,,
192.168.31.131:53138 -> 192.168.31.255:5775,52,2184,,
192.168.31.44:50281 -> 149.154.175.100:443,4,0,,
192.168.31.44:49825 -> 149.154.167.51:443,2,0,,
192.168.31.44:50625 -> 149.154.175.100:443,4,0,,
192.168.31.44:50116 -> 149.154.175.55:443,2,0,,
185.199.111.133:443 -> 192.168.31.44:50690,11,3177,,
192.168.31.44:49865 -> 149.154.167.51:443,4,0,,
8.8.8.8:53 -> 192.168.31.44:56441,1,44,,
192.168.31.44:50248 -> 149.154.175.100:443,1,0,,
194.221.250.50:443 -> 192.168.31.44:50226,13,3817,,
192.168.31.44:56441 -> 8.8.8.8:53,2,56,Google,google.com
192.168.31.44:49922 -> 149.154.175.100:80,4,0,,
192.168.31.44:49827 -> 149.154.167.51:80,2,0,,
192.168.31.44:49916 -> 149.154.175.100:443,2,0,,
8.8.8.8:53 -> 192.168.31.44:48903,1,170,,
20.207.73.82:443 -> 192.168.31.44:50202,17,6044,,
192.168.31.44:50327 -> 91.108.56.141:80,7,0,,
192.168.31.44:35076 -> 8.8.8.8:53,2,96,Unknown,vscode-sync.trafficmanager.net
192.168.31.44:49812 -> 149.154.175.55:443,1,0,,
17.248.239.65:443 -> 192.168.31.44:51303,14,4159,,
192.168.31.44:49993 -> 149.154.167.92:443,4,0,,
192.168.31.44:50067 -> 91.108.56.141:80,4,0,,
192.168.31.44:0 -> 224.0.0.22:0,18,288,,
192.168.31.44:50648 -> 149.154.175.100:443,1,0,,
192.168.31.44:49749 -> 4.225.11.192:443,5,0,,
194.221.250.50:443 -> 192.168.31.44:49915,13,3824,,
194.221.250.50:443 -> 192.168.31.44:50429,13,3773,,
192.168.31.44:50355 -> 149.154.167.92:80,4,0,,
192.168.31.44:49891 -> 91.108.56.141:443,7,0,,
192.168.31.44:50658 -> 149.154.167.92:80,1,0,,
192.168.31.44:51303 -> 17.248.239.65:443,8,391,,
192.168.31.44:50685 -> 149.154.167.92:80,4,0,,
8.8.8.8:53 -> 192.168.31.44:64098,1,124,,
192.168.31.44:50446 -> 91.108.56.141:443,1,0,,
192.168.31.44:49888 -> 149.154.167.51:80,1,0,,
192.168.31.44:50332 -> 149.154.167.92:443,2,0,,
192.168.31.44:50209 -> 140.82.114.22:443,12,1360,,
192.168.31.44:50168 -> 91.108.56.141:443,7,0,,
192.168.31.44:50089 -> 91.108.56.141:443,7,0,,
192.168.31.44:35275 -> 8.8.8.8:53,2,96,Unknown,vscode-sync.trafficmanager.net
192.168.31.44:50692 -> 185.199.111.133:443,9,1394,,
192.168.31.44:49867 -> 194.221.250.50:443,15,2004,,
185.199.111.133:443 -> 192.168.31.44:50694,10,3177,,
8.8.8.8:53 -> 192.168.31.44:60306,1,215,,
192.168.31.44:63583 -> 13.67.9.5:443,8,2517,,
140.82.114.22:443 -> 192.168.31.44:50209,12,4478,,
192.168.31.44:50087 -> 91.108.56.141:80,1,0,,
192.168.31.44:59373 -> 8.8.8.8:53,2,60,Facebook,facebook.com
194.221.250.50:443 -> 192.168.31.44:50331,9,3023,,
192.168.31.44:39806 -> 8.8.8.8:53,2,96,Unknown,vscode-sync.trafficmanager.net
192.168.31.44:48903 -> 8.8.8.8:53,2,100,Microsoft,mobile.events.data.microsoft.com
192.168.31.44:62402 -> 18.97.36.77:443,8,622,,
194.221.250.50:443 -> 192.168.31.44:50013,9,3039,,
192.168.31.44:49811 -> 194.221.250.50:443,11,458,,
192.168.31.44:50166 -> 140.82.112.22:443,186,87473,,
192.168.31.44:49896 -> 149.154.175.100:80,1,0,,
192.168.31.44:50653 -> 149.154.167.92:443,1,0,,
192.168.31.44:49868 -> 149.154.167.51:80,4,0,,
192.168.31.1:0 -> 224.0.0.1:0,17,204,,
194.221.250.50:443 -> 192.168.31.44:50280,13,3865,,
192.168.31.44:49822 -> 149.154.167.51:80,1,0,,
192.168.31.44:50518 -> 149.154.175.55:443,1,0,,
192.168.31.44:50180 -> 149.154.167.51:443,2,0,,
192.168.31.44:49814 -> 149.154.175.55:80,1,0,,
192.168.31.44:49821 -> 91.108.56.141:80,7,0,,
194.221.250.50:443 -> 192.168.31.44:50531,13,3905,,
8.8.8.8:53 -> 192.168.31.44:35275,1,287,,
192.168.31.44:50165 -> 140.82.114.26:443,17,2808,,
192.168.31.44:50373 -> 149.154.167.92:443,1,0,,
192.168.31.44:50041 -> 91.108.56.141:80,1,0,,
192.168.31.44:50686 -> 194.221.250.50:443,13,2391,,
192.168.31.44:49790 -> 91.108.56.141:443,1,0,,
194.221.250.50:443 -> 192.168.31.44:50647,14,3763,,
140.82.112.22:443 -> 192.168.31.44:50166,124,22587,,
192.168.31.44:49920 -> 149.154.175.100:443,4,0,,
192.168.31.44:50013 -> 194.221.250.50:443,10,1771,,
192.168.31.44:50206 -> 149.154.167.51:80,4,0,,
192.168.31.44:64098 -> 8.8.8.8:53,2,56,Google,google.com
194.221.250.50:443 -> 192.168.31.44:49811,13,3892,,
